,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,1,initialSpoutSleepDuration,10,numberOfQueries,1000000,spatialRange,5,numberOfQueryKeywords,3,Topology Id, Tornado-216-1461093931,Number of Workers,49,600,Spid,Tweets , emitt,37264, ack,0, failed,0, completeLatency,0, upTime,1357_,Spid,querySource , emitt,0, ack,0, failed,0, completeLatency,0, upTime,1264_,totall,Spid,Tweets , emitt,27772200, ack,0, failed,0, completeLatency,0, upTime,1357_,Spid,querySource , emitt,1000000, ack,0, failed,0, completeLatency,0, upTime,1264_,600,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,5,spoutParallesim,30,initialSpoutSleepDuration,0,numberOfQueries,5000000,spatialRange,5,numberOfQueryKeywords,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,30,initialSpoutSleepDuration,4,numberOfQueries,5000000,spatialRange,5,numberOfQueryKeywords,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,30,initialSpoutSleepDuration,10,numberOfQueries,5000000,spatialRange,5,numberOfQueryKeywords,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,30,initialSpoutSleepDuration,60,numberOfQueries,5000000,spatialRange,5,numberOfQueryKeywords,3,Topology Id, Tornado-289-1461313483,Number of Workers,68,600,Spid,Tweets , emitt,5305, ack,0, failed,0, completeLatency,0, upTime,4477_4479_4477_4477_4478_4481_4483_4478_4480_4481_4478_4480_4478_4477_4481_4479_4478_4474_4481_4480_4477_4477_4482_4481_4481_4477_4480_4477_4481_4480_,Spid,querySource , emitt,11, ack,0, failed,0, completeLatency,0, upTime,1427_,totall,Spid,Tweets , emitt,3687820, ack,0, failed,0, completeLatency,0, upTime,4477_4479_4477_4477_4478_4481_4483_4478_4480_4481_4478_4480_4478_4477_4481_4479_4478_4474_4481_4480_4477_4477_4482_4481_4481_4477_4480_4477_4481_4480_,Spid,querySource , emitt,265320, ack,0, failed,0, completeLatency,0, upTime,1427_,600,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,30,initialSpoutSleepDuration,60,numberOfQueries,5000000,spatialRange,5,numberOfQueryKeywords,3,Topology Id, Tornado-290-1461317991,Number of Workers,68,600,Spid,Tweets , emitt,6045, ack,0, failed,0, completeLatency,0, upTime,4468_4468_4470_4467_4467_4471_4473_4468_4470_4471_4469_4472_4467_4468_4468_4471_4471_4465_4468_4472_4466_4468_4473_4471_4471_4470_4472_4469_4471_4470_,Spid,querySource , emitt,20, ack,0, failed,0, completeLatency,0, upTime,2901_,totall,Spid,Tweets , emitt,5198020, ack,0, failed,0, completeLatency,0, upTime,4468_4468_4470_4467_4467_4471_4473_4468_4470_4471_4469_4472_4467_4468_4468_4471_4471_4465_4468_4472_4466_4468_4473_4471_4471_4470_4472_4469_4471_4470_,Spid,querySource , emitt,1898460, ack,0, failed,0, completeLatency,0, upTime,2901_,600,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,30,initialSpoutSleepDuration,60,numberOfQueries,5000000,spatialRange,5,numberOfQueryKeywords,3,Topology Id, Tornado-291-1461322500,Number of Workers,68,600,Spid,Tweets , emitt,6960, ack,0, failed,0, completeLatency,0, upTime,4479_4479_4483_4478_4479_4480_4483_4479_4480_4480_4481_4480_4477_4477_4479_4481_4481_4477_4479_4480_4477_4477_4483_4480_4481_4479_4481_4480_4480_4482_,Spid,querySource , emitt,21, ack,0, failed,0, completeLatency,0, upTime,2535_,totall,Spid,Tweets , emitt,5527640, ack,0, failed,0, completeLatency,0, upTime,4479_4479_4483_4478_4479_4480_4483_4479_4480_4480_4481_4480_4477_4477_4479_4481_4481_4477_4479_4480_4477_4477_4483_4480_4481_4479_4481_4480_4480_4482_,Spid,querySource , emitt,1851820, ack,0, failed,0, completeLatency,0, upTime,2535_,600,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,30,initialSpoutSleepDuration,60,numberOfQueries,5000000,spatialRange,5,numberOfQueryKeywords,3,Topology Id, Tornado-292-1461327008,Number of Workers,68,600,Spid,Tweets , emitt,10222, ack,0, failed,0, completeLatency,0, upTime,4469_4470_4474_4471_4468_4475_4477_4470_4474_4474_4473_4474_4471_4471_4473_4473_4472_4471_4472_4473_4470_4469_4473_4471_4475_4471_4473_4470_4474_4474_,Spid,querySource , emitt,30, ack,0, failed,0, completeLatency,0, upTime,665_,totall,Spid,Tweets , emitt,8799340, ack,0, failed,0, completeLatency,0, upTime,4469_4470_4474_4471_4468_4475_4477_4470_4474_4474_4473_4474_4471_4471_4473_4473_4472_4471_4472_4473_4470_4469_4473_4471_4475_4471_4473_4470_4474_4474_,Spid,querySource , emitt,18900, ack,0, failed,0, completeLatency,0, upTime,665_,600,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,6,initialSpoutSleepDuration,15,numberOfQueries,5000000,spatialRange,5,numberOfQueryKeywords,3,Topology Id, Tornado-327-1461647011,Number of Workers,54,600,Spid,Tweets , emitt,9494, ack,0, failed,0, completeLatency,0, upTime,1483_1483_1483_1480_1483_1483_,Spid,querySource , emitt,154, ack,0, failed,0, completeLatency,0, upTime,1484_,totall,Spid,Tweets , emitt,5698580, ack,0, failed,0, completeLatency,0, upTime,1483_1483_1483_1480_1483_1483_,Spid,querySource , emitt,1528140, ack,0, failed,0, completeLatency,0, upTime,1484_,600,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,10,initialSpoutSleepDuration,3,numberOfQueries,100000,spatialRange,5,numberOfQueryKeywords,3,Topology Id, Baseline-33-1462135578,Number of Workers,58,600,Spid,Tweets , emitt,2401, ack,0, failed,0, completeLatency,0, upTime,882_882_882_882_882_882_879_882_879_882_,Spid,querySource , emitt,0, ack,0, failed,0, completeLatency,0, upTime,882_,totall,Spid,Tweets , emitt,1699400, ack,0, failed,0, completeLatency,0, upTime,882_882_882_882_882_882_879_882_879_882_,Spid,querySource , emitt,100000, ack,0, failed,0, completeLatency,0, upTime,882_,600,Bolt id,BaseLineEvaluator,Emitted,output,351,,Eexecuted,querySource_default,0,Tweets_default,2376,,ExecutedstdquerySource_default,0,Tweets_default,4.6855401183,,Eexecute_Latency,querySource_default,0,Tweets_default,19.4122729931,,minup time,878,maxup time,885,total,Bolt id,BaseLineEvaluator,Emitted,output,243220,,Eexecuted,querySource_default,4600000,Tweets_default,1650060,,ExecutedstdquerySource_default,0,Tweets_default,3302.543700851,,Eexecute_Latency,querySource_default,0.0969043478,Tweets_default,19.4722647406,,minup time,878,maxup time,885
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,10,initialSpoutSleepDuration,6,numberOfQueries,1000000,spatialRange,5,numberOfQueryKeywords,3,Topology Id, Baseline-35-1462137291,Number of Workers,58,600,Spid,Tweets , emitt,299, ack,0, failed,0, completeLatency,0, upTime,257_257_257_256_257_257_257_256_257_257_,Spid,querySource , emitt,166, ack,0, failed,0, completeLatency,0, upTime,257_,totall,Spid,Tweets , emitt,181460, ack,0, failed,0, completeLatency,0, upTime,257_257_257_256_257_257_257_256_257_257_,Spid,querySource , emitt,100000, ack,0, failed,0, completeLatency,0, upTime,257_,600,Bolt id,BaseLineEvaluator,Emitted,output,35,,Eexecuted,querySource_default,7666,Tweets_default,251,,ExecutedstdquerySource_default,0,Tweets_default,0.6390519686,,Eexecute_Latency,querySource_default,0.0887956522,Tweets_default,19.9252757443,,minup time,253,maxup time,260,total,Bolt id,BaseLineEvaluator,Emitted,output,21480,,Eexecuted,querySource_default,4600000,Tweets_default,151060,,ExecutedstdquerySource_default,0,Tweets_default,383.4311811778,,Eexecute_Latency,querySource_default,0.0887956522,Tweets_default,19.9252757443,,minup time,253,maxup time,260
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,10,initialSpoutSleepDuration,3,numberOfQueries,100000,spatialRange,5,numberOfQueryKeywords,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,10,initialSpoutSleepDuration,6,numberOfQueries,1000000,spatialRange,5,numberOfQueryKeywords,3,Topology Id, Baseline-36-1462138200,Number of Workers,58,600,Spid,Tweets , emitt,265, ack,0, failed,0, completeLatency,0, upTime,1057_1054_1057_1056_1057_1057_1054_1056_1053_1056_,Spid,querySource , emitt,5, ack,0, failed,0, completeLatency,0, upTime,1053_,totall,Spid,Tweets , emitt,200400, ack,0, failed,0, completeLatency,0, upTime,1057_1054_1057_1056_1057_1057_1054_1056_1053_1056_,Spid,querySource , emitt,925980, ack,0, failed,0, completeLatency,0, upTime,1053_,600,Bolt id,BaseLineEvaluator,Emitted,output,273,,Eexecuted,querySource_default,1428,Tweets_default,250,,ExecutedstdquerySource_default,22.7592759088,Tweets_default,0.6149365632,,Eexecute_Latency,querySource_default,0.4853304665,Tweets_default,186.8812227608,,minup time,1052,maxup time,1059,total,Bolt id,BaseLineEvaluator,Emitted,output,186300,,Eexecuted,querySource_default,42569580,Tweets_default,171700,,ExecutedstdquerySource_default,188.1564124306,Tweets_default,421.2890920197,,Eexecute_Latency,querySource_default,0.2994223219,Tweets_default,186.9924937401,,minup time,1052,maxup time,1059
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,10,initialSpoutSleepDuration,3,numberOfQueries,100000,spatialRange,5,numberOfQueryKeywords,3,Topology Id, Baseline-37-1462139434,Number of Workers,58,600,Spid,Tweets , emitt,2361, ack,0, failed,0, completeLatency,0, upTime,883_880_883_882_882_882_879_882_882_882_,Spid,querySource , emitt,0, ack,0, failed,0, completeLatency,0, upTime,882_,totall,Spid,Tweets , emitt,1669680, ack,0, failed,0, completeLatency,0, upTime,883_880_883_882_882_882_879_882_882_882_,Spid,querySource , emitt,100000, ack,0, failed,0, completeLatency,0, upTime,882_,600,Bolt id,BaseLineEvaluator,Emitted,output,343,,Eexecuted,querySource_default,0,Tweets_default,2319,,ExecutedstdquerySource_default,0,Tweets_default,4.4408878366,,Eexecute_Latency,querySource_default,0,Tweets_default,19.2475353402,,minup time,879,maxup time,885,total,Bolt id,BaseLineEvaluator,Emitted,output,237720,,Eexecuted,querySource_default,4600000,Tweets_default,1610520,,ExecutedstdquerySource_default,0,Tweets_default,3129.224524505,,Eexecute_Latency,querySource_default,0.0916869565,Tweets_default,19.3464169958,,minup time,879,maxup time,885
Topology Id, Baseline-37-1462139434,Number of Workers,58,600,Spid,Tweets , emitt,2336, ack,0, failed,0, completeLatency,0, upTime,943_943_943_943_942_943_942_945_942_943_,Spid,querySource , emitt,0, ack,0, failed,0, completeLatency,0, upTime,943_,totall,Spid,Tweets , emitt,1804100, ack,0, failed,0, completeLatency,0, upTime,943_943_943_943_942_943_942_945_942_943_,Spid,querySource , emitt,100000, ack,0, failed,0, completeLatency,0, upTime,943_,600,Bolt id,BaseLineEvaluator,Emitted,output,345,,Eexecuted,querySource_default,0,Tweets_default,2321,,ExecutedstdquerySource_default,0,Tweets_default,4.4667958399,,Eexecute_Latency,querySource_default,0,Tweets_default,19.2487878982,,minup time,940,maxup time,946,total,Bolt id,BaseLineEvaluator,Emitted,output,258980,,Eexecuted,querySource_default,4600000,Tweets_default,1758640,,ExecutedstdquerySource_default,0,Tweets_default,3416.358733261,,Eexecute_Latency,querySource_default,0.0916869565,Tweets_default,19.3424742119,,minup time,940,maxup time,946,,,,,,,,,,,,,,
Topology Id, Baseline-37-1462139434,Number of Workers,58,600,Spid,Tweets , emitt,2369, ack,0, failed,0, completeLatency,0, upTime,1006_1003_1006_1003_1005_1006_1002_1005_1003_1003_,Spid,querySource , emitt,0, ack,0, failed,0, completeLatency,0, upTime,1003_,totall,Spid,Tweets , emitt,1954880, ack,0, failed,0, completeLatency,0, upTime,1006_1003_1006_1003_1005_1006_1002_1005_1003_1003_,Spid,querySource , emitt,100000, ack,0, failed,0, completeLatency,0, upTime,1003_,600,Bolt id,BaseLineEvaluator,Emitted,output,345,,Eexecuted,querySource_default,0,Tweets_default,2326,,ExecutedstdquerySource_default,0,Tweets_default,4.4627539404,,Eexecute_Latency,querySource_default,0,Tweets_default,19.2439319094,,minup time,1002,maxup time,1006,total,Bolt id,BaseLineEvaluator,Emitted,output,280300,,Eexecuted,querySource_default,4600000,Tweets_default,1906400,,ExecutedstdquerySource_default,0,Tweets_default,3692.5714013239,,Eexecute_Latency,querySource_default,0.0916869565,Tweets_default,19.3360913525,,minup time,1002,maxup time,1006,,,,,,,,,,,,,,
Topology Id, Baseline-37-1462139434,Number of Workers,58,600,Spid,Tweets , emitt,2343, ack,0, failed,0, completeLatency,0, upTime,1066_1063_1066_1066_1066_1066_1065_1065_1066_1066_,Spid,querySource , emitt,0, ack,0, failed,0, completeLatency,0, upTime,1066_,totall,Spid,Tweets , emitt,2100140, ack,0, failed,0, completeLatency,0, upTime,1066_1063_1066_1066_1066_1066_1065_1065_1066_1066_,Spid,querySource , emitt,100000, ack,0, failed,0, completeLatency,0, upTime,1066_,600,Bolt id,BaseLineEvaluator,Emitted,output,347,,Eexecuted,querySource_default,0,Tweets_default,2342,,ExecutedstdquerySource_default,0,Tweets_default,4.4528783824,,Eexecute_Latency,querySource_default,0,Tweets_default,19.2175885957,,minup time,1062,maxup time,1069,total,Bolt id,BaseLineEvaluator,Emitted,output,301060,,Eexecuted,querySource_default,4600000,Tweets_default,2055260,,ExecutedstdquerySource_default,0,Tweets_default,3962.652798602,,Eexecute_Latency,querySource_default,0.0916869565,Tweets_default,19.3107499972,,minup time,1062,maxup time,1069,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3297718539,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,10,initialSpoutSleepDuration,8,numberOfQueries,1000000,spatialRange,5,numberOfQueryKeywords,3,Topology Id, Baseline-38-1462140583,Number of Workers,58,600,Spid,Tweets , emitt,244, ack,0, failed,0, completeLatency,0, upTime,1180_1178_1180_1180_1180_1180_1176_1179_1179_1180_,Spid,querySource , emitt,0, ack,0, failed,0, completeLatency,0, upTime,1177_,totall,Spid,Tweets , emitt,209560, ack,0, failed,0, completeLatency,0, upTime,1180_1178_1180_1180_1180_1180_1176_1179_1179_1180_,Spid,querySource , emitt,1000000, ack,0, failed,0, completeLatency,0, upTime,1177_,600,Bolt id,BaseLineEvaluator,Emitted,output,284,,Eexecuted,querySource_default,0,Tweets_default,228,,ExecutedstdquerySource_default,0,Tweets_default,0.4931625128,,Eexecute_Latency,querySource_default,0,Tweets_default,203.34224371,,minup time,1176,maxup time,1181,total,Bolt id,BaseLineEvaluator,Emitted,output,196020,,Eexecuted,querySource_default,46000000,Tweets_default,158940,,ExecutedstdquerySource_default,0,Tweets_default,345.4847830943,,Eexecute_Latency,querySource_default,0.3192443478,Tweets_default,203.3635707422,,minup time,1176,maxup time,1181
Topology Id, Baseline-38-1462140583,Number of Workers,58,600,Spid,Tweets , emitt,304, ack,0, failed,0, completeLatency,0, upTime,1240_1241_1240_1240_1240_1240_1239_1239_1239_1240_,Spid,querySource , emitt,0, ack,0, failed,0, completeLatency,0, upTime,1240_,totall,Spid,Tweets , emitt,245100, ack,0, failed,0, completeLatency,0, upTime,1240_1241_1240_1240_1240_1240_1239_1239_1239_1240_,Spid,querySource , emitt,1000000, ack,0, failed,0, completeLatency,0, upTime,1240_,600,Bolt id,BaseLineEvaluator,Emitted,output,280,,Eexecuted,querySource_default,0,Tweets_default,228,,ExecutedstdquerySource_default,0,Tweets_default,0.4894314801,,Eexecute_Latency,querySource_default,0,Tweets_default,203.3634188317,,minup time,1237,maxup time,1242,total,Bolt id,BaseLineEvaluator,Emitted,output,210060,,Eexecuted,querySource_default,46000000,Tweets_default,173060,,ExecutedstdquerySource_default,0,Tweets_default,372.4239814085,,Eexecute_Latency,querySource_default,0.3192443478,Tweets_default,203.3631583731,,minup time,1237,maxup time,1242,,,,,,,,,,,,,,
Topology Id, Baseline-38-1462140583,Number of Workers,58,600,Spid,Tweets , emitt,291, ack,0, failed,0, completeLatency,0, upTime,1300_1301_1303_1303_1300_1300_1299_1302_1299_1303_,Spid,querySource , emitt,0, ack,0, failed,0, completeLatency,0, upTime,1300_,totall,Spid,Tweets , emitt,245100, ack,0, failed,0, completeLatency,0, upTime,1300_1301_1303_1303_1300_1300_1299_1302_1299_1303_,Spid,querySource , emitt,1000000, ack,0, failed,0, completeLatency,0, upTime,1300_,600,Bolt id,BaseLineEvaluator,Emitted,output,275,,Eexecuted,querySource_default,0,Tweets_default,229,,ExecutedstdquerySource_default,0,Tweets_default,0.4888486682,,Eexecute_Latency,querySource_default,0,Tweets_default,203.2211207864,,minup time,1300,maxup time,1304,total,Bolt id,BaseLineEvaluator,Emitted,output,223380,,Eexecuted,querySource_default,46000000,Tweets_default,187300,,ExecutedstdquerySource_default,0,Tweets_default,401.271372709,,Eexecute_Latency,querySource_default,0.3192443478,Tweets_default,203.2497367631,,minup time,1300,maxup time,1304,,,,,,,,,,,,,,
Topology Id, Baseline-38-1462140583,Number of Workers,58,600,Spid,Tweets , emitt,297, ack,0, failed,0, completeLatency,0, upTime,1351_1352_1354_1354_1352_1351_1350_1353_1351_1354_,Spid,querySource , emitt,0, ack,0, failed,0, completeLatency,0, upTime,1351_,totall,Spid,Tweets , emitt,264400, ack,0, failed,0, completeLatency,0, upTime,1351_1352_1354_1354_1352_1351_1350_1353_1351_1354_,Spid,querySource , emitt,1000000, ack,0, failed,0, completeLatency,0, upTime,1351_,600,Bolt id,BaseLineEvaluator,Emitted,output,272,,Eexecuted,querySource_default,0,Tweets_default,229,,ExecutedstdquerySource_default,0,Tweets_default,0.4967847063,,Eexecute_Latency,querySource_default,0,Tweets_default,202.682586976,,minup time,1351,maxup time,1355,total,Bolt id,BaseLineEvaluator,Emitted,output,236840,,Eexecuted,querySource_default,46000000,Tweets_default,199100,,ExecutedstdquerySource_default,0,Tweets_default,428.7408477808,,Eexecute_Latency,querySource_default,0.3192443478,Tweets_default,203.1175861739,,minup time,1351,maxup time,1355,,,,,,,,,,,,,,
,,,,,,,,297.3333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.24349377,,,,,,,,,,,,,,,,,,,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,10,initialSpoutSleepDuration,3,numberOfQueries,100000,spatialRange,5.0,numberOfQueryKeywords,3,
Numberof ackers,0,numberOfEvaluators,36,spoutParallesim,10,initialSpoutSleepDuration,3,numberOfQueries,100000,spatialRange,5.0,numberOfQueryKeywords,3,
